mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
25.31867289543152,1.018008914727006,3.995789957046509,0.20215911008214293,0.25,sigmoid,0.03125,"{'C': 0.25, 'gamma': 0.03125, 'kernel': 'sigmoid'}",0.6007,0.6015,0.6007,0.6011,0.601,0.601,0.00029664793948383126,353,0.601075,0.601075,0.600925,0.601175,0.601,0.6010500000000001,8.366600265340497e-05
18.255669593811035,0.7266001734325876,2.706896209716797,0.18190064629733071,0.25,rbf,0.0625,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'rbf'}",0.8223,0.8232,0.8282,0.8223,0.8193,0.8230600000000001,0.002889013672518709,206,0.82775,0.8264,0.825025,0.826475,0.8277,0.82667,0.0010044152527714748
22.84561929702759,1.0170669457590928,2.5365817546844482,0.23610092288255072,0.25,poly,0.0625,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'poly'}",0.8401,0.8421,0.8468,0.8436,0.8379,0.8421,0.003032490725459861,117,0.85185,0.85095,0.84975,0.850175,0.851,0.8507450000000001,0.0007270488291717342
22.405445528030395,1.476963103626997,4.1512950420379635,0.3446082326649302,0.25,sigmoid,0.0625,"{'C': 0.25, 'gamma': 0.0625, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6,0.6,0.0,355,0.6,0.6,0.6,0.6,0.6,0.6,0.0
14.840880060195923,1.5126663009884842,1.914878511428833,0.299881487170174,0.25,rbf,0.125,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'rbf'}",0.8377,0.8369,0.8432,0.838,0.834,0.83796,0.0029776500801806717,133,0.845625,0.845025,0.8433,0.84515,0.845825,0.844985,0.000892552519463124
35.38408789634705,1.3811979858563164,2.282569074630737,0.09501127666262653,0.25,poly,0.125,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'poly'}",0.8817,0.8797,0.8901,0.8848,0.8801,0.8832799999999998,0.003853517873320423,48,0.911475,0.9122,0.9111,0.911475,0.91095,0.91144,0.00043260836792645847
22.744729471206664,0.5017871035012846,4.122712898254394,0.3183301548857856,0.25,sigmoid,0.125,"{'C': 0.25, 'gamma': 0.125, 'kernel': 'sigmoid'}",0.6,0.6,0.6,0.6,0.6,0.6,0.0,355,0.6,0.6,0.6,0.6,0.6,0.6,0.0
17.657078361511232,0.7613177127833037,2.402282381057739,0.18805266915253885,0.25,rbf,0.25,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'rbf'}",0.8569,0.8577,0.8627,0.8612,0.8554,0.8587800000000001,0.0027330568965903235,96,0.87435,0.873575,0.87225,0.873975,0.8739,0.8736099999999999,0.000723291089396239
171.7050947666168,5.828097209938028,1.7235573291778565,0.06623092373705615,0.25,poly,0.25,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'poly'}",0.8886,0.8878,0.8917,0.8923,0.8909,0.8902599999999999,0.001757953355467665,27,0.965175,0.96595,0.9648,0.9654,0.963675,0.9650000000000001,0.0007600986778044182
5.203161144256592,0.18757954818544675,1.0240182876586914,0.14466781630288608,0.25,sigmoid,0.25,"{'C': 0.25, 'gamma': 0.25, 'kernel': 'sigmoid'}",0.5086,0.5112,0.5036,0.5115,0.5086,0.5086999999999999,0.0028326665882168053,410,0.509425,0.5083,0.50965,0.50845,0.5076,0.508685,0.0007562407024221912
